L1 i-cache misses,L1 d-cache misses,L1 i-tlb misses,L1 d-tlb misses,Instructions,Branch mispredictions,KernelUtilisation,KernelEntries,NumberSchedules,TotalUtilisation
18936383,31101529,5762768,24608136,716265146,9359523,3833230811,3742603,3742201,306932880066
19652155,33006832,5937583,25950541,3125040219,9584816,3970000612,3856165,3847228,165841159098
24259249,40465854,7181167,31693533,4164897727,11414975,4770157229,4615376,4614556,81032447440
27413644,48264679,8279085,36847000,634664421,14997369,5589235523,5520169,5341022,52683648668
15392252,40342077,6277376,30907709,811642122,15552661,6582957016,6940921,6609774,38665258224
7520683,32096878,4497330,23631875,1162746071,10662609,6662339643,7230341,6900593,33936220842
6931258,36335886,3932905,21885200,4028360908,10873432,5746364980,6200999,5892337,31537238619
6576344,40532556,3486588,20887851,3143883310,11197356,4997006390,5357215,5058536,30067473441
6297008,45229275,3152087,20641257,2264799622,11471486,4438548561,4724442,4436785,29134546925
6127273,49739452,2855917,20572150,1761609772,12029316,3935996084,4157093,3868660,28570092650
5979259,54078986,2607970,20740795,1191277964,12446139,3502919521,3664681,3380983,28067420300
6034969,57916635,2438822,21247860,851365481,13062481,3199945659,3324036,3037440,27925200118
6050157,56866064,2440998,20684679,1022938134,13151074,3197132926,3326682,3038980,28036092610
