load-req,load-ach,CPU,cycles,RTT mean,,,,,,,,,,,,,,,,,
10,10,0.033,,1736,1564,,,,,,,,,,,,,,,,
20,20,0.081,,1467,1441,,,,,,,,,,,,,,,,
50,50,0.183,,1078,1121,,,,,,,,,,,,,,,,
100,100,0.312,,1069,1144,,,,,,,,,,,,,,,,
200,199.995,0.554,,1001,976,,,,,,,,,,,,,,,,
300,300.017,0.771,,968,972,,,,,,,,,,,,,,,,
400,399.998,0.98,,999,1001,,,,,,,,,,,,,,,,
500,500.006,1.235,,981,960,,,,,,,,,,,,,,,,
600,599.988,1.463,,936,935,,,,,,,,,,,,,,,,
700,700.009,1.526,,926,923,,,,,,,,,,,,,,,,
800,799.951,1.558,,951,949,,,,,,,,,,,,,,,,
900,899.993,1.639,,979,1017,,,,,,,,,,,,,,,,
957,956.813,2.382,,2100,2060,,,,,,,,,,,,,,,,
#,Source: https://docs.google.com/spreadsheets/d/1d1hKhZVVbEvxm7ehs7sXc1KvGjfdJ0RHR4YiMPzR8O8,,,,,,,,,,,,,,,,,,,,
#,Measured by Junming using ipbench 2024-03-19 Linux on 4 cores,,,,,,,,,,,,,,,,,,,,
