load-req,load-ach,CPU,cycles/pkt,RTT mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.000171,0.02,24783.31,474
20,20.000293,0.04,25245.67,468
50,50.00028,0.10,22049.15,482
100,100.000907,0.17,19814.00,450
200,200.001357,0.28,16142.30,437
300,300.012052,0.35,13806.57,455
400,400.013569,0.41,12376.56,493
500,500.006022,0.46,10975.32,546
600,600.02325,0.50,9946.57,601
700,700.008254,0.53,9086.90,723
800,799.913937,0.58,8599.72,863
900,899.981389,0.63,8327.74,1016
957,957.115041,0.66,8238.54,1567
#,Source: https://docs.google.com/spreadsheets/d/1d1hKhZVVbEvxm7ehs7sXc1KvGjfdJ0RHR4YiMPzR8O8/edit#gid=1350012342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Measured by Courtney using ipbench 2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,"4-PD sDDF system: Driver plus client with lwip, no copier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Commit,95492dcc32abf8f8b4fc34297ba5c26fb181d891
